model,max_tokens,max_input_tokens,max_output_tokens,input_cost_per_token,output_cost_per_token,litellm_provider,mode,supports_function_calling,supports_parallel_function_calling,supports_vision,source,output_vector_size,input_cost_per_pixel,output_cost_per_pixel,input_cost_per_second,output_cost_per_second,input_cost_per_character,supports_assistant_prefill,input_cost_per_token_cache_hit,supports_tool_choice,tool_use_system_prompt_tokens,output_cost_per_character,input_cost_per_image,input_cost_per_video_per_second,input_cost_per_audio_per_second,input_cost_per_token_above_128k_tokens,input_cost_per_character_above_128k_tokens,output_cost_per_token_above_128k_tokens,output_cost_per_character_above_128k_tokens,output_cost_per_image,output_cost_per_video_per_second,output_cost_per_audio_per_second,supports_system_messages,supports_response_schema,max_images_per_prompt,max_videos_per_prompt,max_video_length,max_audio_length_hours,max_audio_per_prompt,max_pdf_size_mb,cost_per_image,input_cost_per_token_batch_requests,input_cost_per_request
chat-bison@001,4096,8192,4096,0.0000001250,0.0000001250,vertex_ai-chat-models,chat,,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,0.0000002500,,,,,0.0000005000,,,,,,,,,,,,,,,,,,,,,
chat-bison@002,4096,8192,4096,0.0000001250,0.0000001250,vertex_ai-chat-models,chat,,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,0.0000002500,,,,,0.0000005000,,,,,,,,,,,,,,,,,,,,,
chat-bison-32k,8192,32000,8192,0.0000001250,0.0000001250,vertex_ai-chat-models,chat,,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,0.0000002500,,,,,0.0000005000,,,,,,,,,,,,,,,,,,,,,
chat-bison-32k@002,8192,32000,8192,0.0000001250,0.0000001250,vertex_ai-chat-models,chat,,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,0.0000002500,,,,,0.0000005000,,,,,,,,,,,,,,,,,,,,,
code-bison,1024,6144,1024,0.0000001250,0.0000001250,vertex_ai-code-text-models,chat,,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,0.0000002500,,,,,0.0000005000,,,,,,,,,,,,,,,,,,,,,
code-bison@001,1024,6144,1024,0.0000001250,0.0000001250,vertex_ai-code-text-models,completion,,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,0.0000002500,,,,,0.0000005000,,,,,,,,,,,,,,,,,,,,,
code-bison@002,1024,6144,1024,0.0000001250,0.0000001250,vertex_ai-code-text-models,completion,,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,0.0000002500,,,,,0.0000005000,,,,,,,,,,,,,,,,,,,,,
code-bison32k,1024,6144,1024,0.0000001250,0.0000001250,vertex_ai-code-text-models,completion,,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,0.0000002500,,,,,0.0000005000,,,,,,,,,,,,,,,,,,,,,
code-bison-32k@002,1024,6144,1024,0.0000001250,0.0000001250,vertex_ai-code-text-models,completion,,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,0.0000002500,,,,,0.0000005000,,,,,,,,,,,,,,,,,,,,,
code-gecko@001,64,2048,64,0.0000001250,0.0000001250,vertex_ai-code-text-models,completion,,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code-gecko@002,64,2048,64,0.0000001250,0.0000001250,vertex_ai-code-text-models,completion,,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code-gecko,64,2048,64,0.0000001250,0.0000001250,vertex_ai-code-text-models,completion,,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code-gecko-latest,64,2048,64,0.0000001250,0.0000001250,vertex_ai-code-text-models,completion,,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
codechat-bison@latest,1024,6144,1024,0.0000001250,0.0000001250,vertex_ai-code-chat-models,chat,,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,0.0000002500,,,,,0.0000005000,,,,,,,,,,,,,,,,,,,,,
codechat-bison,1024,6144,1024,0.0000001250,0.0000001250,vertex_ai-code-chat-models,chat,,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,0.0000002500,,,,,0.0000005000,,,,,,,,,,,,,,,,,,,,,
codechat-bison@001,1024,6144,1024,0.0000001250,0.0000001250,vertex_ai-code-chat-models,chat,,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,0.0000002500,,,,,0.0000005000,,,,,,,,,,,,,,,,,,,,,
codechat-bison@002,1024,6144,1024,0.0000001250,0.0000001250,vertex_ai-code-chat-models,chat,,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,0.0000002500,,,,,0.0000005000,,,,,,,,,,,,,,,,,,,,,
codechat-bison-32k,8192,32000,8192,0.0000001250,0.0000001250,vertex_ai-code-chat-models,chat,,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,0.0000002500,,,,,0.0000005000,,,,,,,,,,,,,,,,,,,,,
codechat-bison-32k@002,8192,32000,8192,0.0000001250,0.0000001250,vertex_ai-code-chat-models,chat,,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,0.0000002500,,,,,0.0000005000,,,,,,,,,,,,,,,,,,,,,
gemini-pro,8192,32760,8192,0.0000005000,0.0000015000,vertex_ai-language-models,chat,True,,,https://cloud.google.com/vertex-ai/generative-ai/pricing,,,,,,0.0000001250,,,,,0.0000003750,0.0025000000,0.0020000000,,,,,,,,,,,,,,,,,,,
gemini-1.0-pro,8192,32760,8192,0.0000005000,0.0000015000,vertex_ai-language-models,chat,True,,,https://cloud.google.com/vertex-ai/generative-ai/pricing#google_models,,,,,,0.0000001250,,,,,0.0000003750,0.0025000000,0.0020000000,,,,,,,,,,,,,,,,,,,
gemini-1.0-pro-001,8192,32760,8192,0.0000005000,0.0000015000,vertex_ai-language-models,chat,True,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,0.0000001250,,,,,0.0000003750,0.0025000000,0.0020000000,,,,,,,,,,,,,,,,,,,
gemini-1.0-ultra,8192,8192,2048,0.0000005000,0.0000015000,vertex_ai-language-models,chat,True,,,"As of Jun, 2024. There is no available doc on vertex ai pricing gemini-1.0-ultra-001. Using gemini-1.0-pro pricing. Got max_tokens info here: https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models",,,,,,0.0000001250,,,,,0.0000003750,0.0025000000,0.0020000000,,,,,,,,,,,,,,,,,,,
gemini-1.0-ultra-001,8192,8192,2048,0.0000005000,0.0000015000,vertex_ai-language-models,chat,True,,,"As of Jun, 2024. There is no available doc on vertex ai pricing gemini-1.0-ultra-001. Using gemini-1.0-pro pricing. Got max_tokens info here: https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models",,,,,,0.0000001250,,,,,0.0000003750,0.0025000000,0.0020000000,,,,,,,,,,,,,,,,,,,
gemini-1.0-pro-002,8192,32760,8192,0.0000005000,0.0000015000,vertex_ai-language-models,chat,True,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,0.0000001250,,,,,0.0000003750,0.0025000000,0.0020000000,,,,,,,,,,,,,,,,,,,
gemini-1.5-pro,8192,2097152,8192,0.0000050000,0.0000150000,vertex_ai-language-models,chat,True,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,0.0000012500,,,True,,0.0000037500,0.0013150000,0.0013150000,0.0001250000,0.0000100000,0.0000025000,0.0000300000,0.0000075000,0.0026300000,0.0026300000,0.0002500000,True,True,,,,,,,,,
gemini-1.5-pro-001,8192,1000000,8192,0.0000050000,0.0000150000,vertex_ai-language-models,chat,True,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,0.0000012500,,,True,,0.0000037500,0.0013150000,0.0013150000,0.0001250000,0.0000100000,0.0000025000,0.0000300000,0.0000075000,0.0026300000,0.0026300000,0.0002500000,True,True,,,,,,,,,
gemini-1.5-pro-preview-0514,8192,1000000,8192,0.0000050000,0.0000150000,vertex_ai-language-models,chat,True,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,0.0000012500,,,True,,0.0000037500,0.0013150000,0.0013150000,0.0001250000,0.0000100000,0.0000025000,0.0000300000,0.0000075000,0.0026300000,0.0026300000,0.0002500000,True,True,,,,,,,,,
gemini-1.5-pro-preview-0215,8192,1000000,8192,0.0000050000,0.0000150000,vertex_ai-language-models,chat,True,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,0.0000012500,,,True,,0.0000037500,0.0013150000,0.0013150000,0.0001250000,0.0000100000,0.0000025000,0.0000300000,0.0000075000,0.0026300000,0.0026300000,0.0002500000,True,True,,,,,,,,,
gemini-1.5-pro-preview-0409,8192,1000000,8192,0.0000050000,0.0000150000,vertex_ai-language-models,chat,True,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,0.0000012500,,,True,,0.0000037500,0.0013150000,0.0013150000,0.0001250000,0.0000100000,0.0000025000,0.0000300000,0.0000075000,0.0026300000,0.0026300000,0.0002500000,,True,,,,,,,,,
gemini-1.5-flash,8192,1000000,8192,0.0000005000,0.0000015000,vertex_ai-language-models,chat,True,,True,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,0.0000001250,,,,,0.0000003750,0.0001315000,0.0001315000,0.0001250000,0.0000010000,0.0000002500,0.0000030000,0.0000007500,0.0002630000,0.0002630000,0.0002500000,True,,3000.0000000000,10.0000000000,1.0000000000,8.4000000000,1.0000000000,30.0000000000,,,
gemini-1.5-flash-001,8192,1000000,8192,0.0000005000,0.0000015000,vertex_ai-language-models,chat,True,,True,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,0.0000001250,,,,,0.0000003750,0.0001315000,0.0001315000,0.0001250000,0.0000010000,0.0000002500,0.0000030000,0.0000007500,0.0002630000,0.0002630000,0.0002500000,True,,3000.0000000000,10.0000000000,1.0000000000,8.4000000000,1.0000000000,30.0000000000,,,
gemini-1.5-flash-preview-0514,8192,1000000,8192,0.0000005000,0.0000015000,vertex_ai-language-models,chat,True,,True,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,0.0000001250,,,,,0.0000003750,0.0001315000,0.0001315000,0.0001250000,0.0000010000,0.0000002500,0.0000030000,0.0000007500,0.0002630000,0.0002630000,0.0002500000,True,,3000.0000000000,10.0000000000,1.0000000000,8.4000000000,1.0000000000,30.0000000000,,,
gemini-experimental,8192,1000000,8192,0.0000000000,0.0000000000,vertex_ai-language-models,chat,False,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
gemini-pro-vision,2048,16384,2048,0.0000002500,0.0000005000,vertex_ai-vision-models,chat,True,,True,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,,,,,,,,,,,,,,,,,,,16.0000000000,1.0000000000,2.0000000000,,,,,,
gemini-1.0-pro-vision,2048,16384,2048,0.0000002500,0.0000005000,vertex_ai-vision-models,chat,True,,True,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,,,,,,,,,,,,,,,,,,,16.0000000000,1.0000000000,2.0000000000,,,,,,
gemini-1.0-pro-vision-001,2048,16384,2048,0.0000002500,0.0000005000,vertex_ai-vision-models,chat,True,,True,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,,,,,,,,,,,,,,,,,,,16.0000000000,1.0000000000,2.0000000000,,,,,,
medlm-medium,8192,32768,8192,,,vertex_ai-language-models,chat,,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,0.0000005000,,,,,0.0000010000,,,,,,,,,,,,,,,,,,,,,
medlm-large,1024,8192,1024,,,vertex_ai-language-models,chat,,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,0.0000050000,,,,,0.0000150000,,,,,,,,,,,,,,,,,,,,,
vertex_ai/claude-3-sonnet@20240229,4096,200000,4096,0.0000030000,0.0000150000,vertex_ai-anthropic_models,chat,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vertex_ai/claude-3-5-sonnet@20240620,4096,200000,4096,0.0000030000,0.0000150000,vertex_ai-anthropic_models,chat,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vertex_ai/claude-3-haiku@20240307,4096,200000,4096,0.0000002500,0.0000012500,vertex_ai-anthropic_models,chat,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vertex_ai/claude-3-opus@20240229,4096,200000,4096,0.0000150000,0.0000750000,vertex_ai-anthropic_models,chat,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vertex_ai/meta/llama3-405b-instruct-maas,32000,32000,32000,0.0000000000,0.0000000000,vertex_ai-llama_models,chat,,,,https://cloud.google.com/vertex-ai/generative-ai/pricing#partner-models,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vertex_ai/mistral-large@latest,8191,128000,8191,0.0000030000,0.0000090000,vertex_ai-mistral_models,chat,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vertex_ai/mistral-large@2407,8191,128000,8191,0.0000030000,0.0000090000,vertex_ai-mistral_models,chat,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vertex_ai/mistral-nemo@latest,128000,128000,128000,0.0000030000,0.0000030000,vertex_ai-mistral_models,chat,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vertex_ai/mistral-nemo@2407,128000,128000,128000,0.0000030000,0.0000030000,vertex_ai-mistral_models,chat,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vertex_ai/codestral@latest,128000,128000,128000,0.0000010000,0.0000030000,vertex_ai-mistral_models,chat,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vertex_ai/codestral@2405,128000,128000,128000,0.0000010000,0.0000030000,vertex_ai-mistral_models,chat,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vertex_ai/imagegeneration@006,,,,,,vertex_ai-image-models,image_generation,,,,https://cloud.google.com/vertex-ai/generative-ai/pricing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0200000000,,
text-embedding-004,3072,3072,,0.0000000062,0.0000000000,vertex_ai-embedding-models,embedding,,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models,768.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text-multilingual-embedding-002,2048,2048,,0.0000000062,0.0000000000,vertex_ai-embedding-models,embedding,,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models,768.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
textembedding-gecko,3072,3072,,0.0000000062,0.0000000000,vertex_ai-embedding-models,embedding,,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,768.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
textembedding-gecko-multilingual,3072,3072,,0.0000000062,0.0000000000,vertex_ai-embedding-models,embedding,,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,768.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
textembedding-gecko-multilingual@001,3072,3072,,0.0000000062,0.0000000000,vertex_ai-embedding-models,embedding,,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,768.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
textembedding-gecko@001,3072,3072,,0.0000000062,0.0000000000,vertex_ai-embedding-models,embedding,,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,768.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
textembedding-gecko@003,3072,3072,,0.0000000062,0.0000000000,vertex_ai-embedding-models,embedding,,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,768.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text-embedding-preview-0409,3072,3072,,0.0000000062,0.0000000000,vertex_ai-embedding-models,embedding,,,,https://cloud.google.com/vertex-ai/generative-ai/pricing,768.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000050,
text-multilingual-embedding-preview-0409,3072,3072,,0.0000000062,0.0000000000,vertex_ai-embedding-models,embedding,,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,768.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
palm/chat-bison,4096,8192,4096,0.0000001250,0.0000001250,palm,chat,,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
palm/chat-bison-001,4096,8192,4096,0.0000001250,0.0000001250,palm,chat,,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
palm/text-bison,1024,8192,1024,0.0000001250,0.0000001250,palm,completion,,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
palm/text-bison-001,1024,8192,1024,0.0000001250,0.0000001250,palm,completion,,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
palm/text-bison-safety-off,1024,8192,1024,0.0000001250,0.0000001250,palm,completion,,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
palm/text-bison-safety-recitation-off,1024,8192,1024,0.0000001250,0.0000001250,palm,completion,,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemini/gemini-1.5-flash,8192,1000000,8192,0.0000003500,0.0000010500,gemini,chat,True,,True,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,,,,,,,,,,0.0000007000,,0.0000021000,,,,,True,,3000.0000000000,10.0000000000,1.0000000000,8.4000000000,1.0000000000,30.0000000000,,,
gemini/gemini-1.5-flash-latest,8192,1000000,8192,0.0000003500,0.0000010500,gemini,chat,True,,True,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,,,,,,,,,,0.0000007000,,0.0000021000,,,,,True,,3000.0000000000,10.0000000000,1.0000000000,8.4000000000,1.0000000000,30.0000000000,,,
gemini/gemini-pro,8192,32760,8192,0.0000003500,0.0000010500,gemini,chat,True,,,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,,,,,,,,,,0.0000007000,,0.0000021000,,,,,,,,,,,,,,,
gemini/gemini-1.5-pro,8192,2097152,8192,0.0000035000,0.0000105000,gemini,chat,True,,True,https://ai.google.dev/pricing,,,,,,,,,True,,,,,,0.0000070000,,0.0000210000,,,,,True,True,,,,,,,,,
gemini/gemini-1.5-pro-exp-0801,8192,2097152,8192,0.0000035000,0.0000105000,gemini,chat,True,,True,https://ai.google.dev/pricing,,,,,,,,,True,,,,,,0.0000070000,,0.0000210000,,,,,True,True,,,,,,,,,
gemini/gemini-1.5-pro-latest,8192,1048576,8192,0.0000035000,0.0000010500,gemini,chat,True,,True,https://ai.google.dev/pricing,,,,,,,,,True,,,,,,0.0000070000,,0.0000210000,,,,,True,True,,,,,,,,,
gemini/gemini-pro-vision,2048,30720,2048,0.0000003500,0.0000010500,gemini,chat,True,,True,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,,,,,,,,,,0.0000007000,,0.0000021000,,,,,,,,,,,,,,,
gemini/gemini-gemma-2-27b-it,8192,,8192,0.0000003500,0.0000010500,gemini,chat,True,,True,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemini/gemini-gemma-2-9b-it,8192,,8192,0.0000003500,0.0000010500,gemini,chat,True,,True,https://cloud.google.com/vertex-ai/generative-ai/docs/learn/models#foundation_models,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
command-r,4096,128000,4096,0.0000005000,0.0000015000,cohere_chat,chat,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
command-light,4096,4096,4096,0.0000150000,0.0000150000,cohere_chat,chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
command-r-plus,4096,128000,4096,0.0000030000,0.0000150000,cohere_chat,chat,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
command-nightly,4096,4096,4096,0.0000150000,0.0000150000,cohere,completion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
command,4096,4096,4096,0.0000150000,0.0000150000,cohere,completion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
command-medium-beta,4096,4096,4096,0.0000150000,0.0000150000,cohere,completion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
command-xlarge-beta,4096,4096,4096,0.0000150000,0.0000150000,cohere,completion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
embed-english-v3.0,512,512,,0.0000001000,0.0000000000,cohere,embedding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
embed-english-light-v3.0,512,512,,0.0000001000,0.0000000000,cohere,embedding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
embed-multilingual-v3.0,512,512,,0.0000001000,0.0000000000,cohere,embedding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
embed-english-v2.0,512,512,,0.0000001000,0.0000000000,cohere,embedding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
embed-english-light-v2.0,512,512,,0.0000001000,0.0000000000,cohere,embedding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
embed-multilingual-v2.0,256,256,,0.0000001000,0.0000000000,cohere,embedding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replicate/meta/llama-2-13b,4096,4096,4096,0.0000001000,0.0000005000,replicate,chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replicate/meta/llama-2-13b-chat,4096,4096,4096,0.0000001000,0.0000005000,replicate,chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replicate/meta/llama-2-70b,4096,4096,4096,0.0000006500,0.0000027500,replicate,chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replicate/meta/llama-2-70b-chat,4096,4096,4096,0.0000006500,0.0000027500,replicate,chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replicate/meta/llama-2-7b,4096,4096,4096,0.0000000500,0.0000002500,replicate,chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replicate/meta/llama-2-7b-chat,4096,4096,4096,0.0000000500,0.0000002500,replicate,chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replicate/meta/llama-3-70b,8192,8192,8192,0.0000006500,0.0000027500,replicate,chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replicate/meta/llama-3-70b-instruct,8192,8192,8192,0.0000006500,0.0000027500,replicate,chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replicate/meta/llama-3-8b,8086,8086,8086,0.0000000500,0.0000002500,replicate,chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replicate/meta/llama-3-8b-instruct,8086,8086,8086,0.0000000500,0.0000002500,replicate,chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replicate/mistralai/mistral-7b-v0.1,4096,4096,4096,0.0000000500,0.0000002500,replicate,chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replicate/mistralai/mistral-7b-instruct-v0.2,4096,4096,4096,0.0000000500,0.0000002500,replicate,chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replicate/mistralai/mixtral-8x7b-instruct-v0.1,4096,4096,4096,0.0000003000,0.0000010000,replicate,chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openrouter/deepseek/deepseek-coder,4096,32000,4096,0.0000001400,0.0000002800,openrouter,chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openrouter/microsoft/wizardlm-2-8x22b:nitro,65536,,,0.0000010000,0.0000010000,openrouter,chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openrouter/google/gemini-pro-1.5,8192,1000000,8192,0.0000025000,0.0000075000,openrouter,chat,True,,True,,,,,,,,,,,,,0.0026500000,,,,,,,,,,,,,,,,,,,,
openrouter/mistralai/mixtral-8x22b-instruct,65536,,,0.0000006500,0.0000006500,openrouter,chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openrouter/cohere/command-r-plus,128000,,,0.0000030000,0.0000150000,openrouter,chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openrouter/databricks/dbrx-instruct,32768,,,0.0000006000,0.0000006000,openrouter,chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openrouter/anthropic/claude-3-haiku,200000,,,0.0000002500,0.0000012500,openrouter,chat,True,,True,,,,,,,,,,,,,0.0004000000,,,,,,,,,,,,,,,,,,,,
openrouter/anthropic/claude-3-haiku-20240307,4096,200000,4096,0.0000002500,0.0000012500,openrouter,chat,True,,True,,,,,,,,,,,264.0000000000,,,,,,,,,,,,,,,,,,,,,,
openrouter/anthropic/claude-3.5-sonnet,4096,200000,4096,0.0000030000,0.0000150000,openrouter,chat,True,,True,,,,,,,,,,,159.0000000000,,,,,,,,,,,,,,,,,,,,,,
openrouter/anthropic/claude-3-sonnet,200000,,,0.0000030000,0.0000150000,openrouter,chat,True,,True,,,,,,,,,,,,,0.0048000000,,,,,,,,,,,,,,,,,,,,
openrouter/mistralai/mistral-large,32000,,,0.0000080000,0.0000240000,openrouter,chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openrouter/cognitivecomputations/dolphin-mixtral-8x7b,32769,,,0.0000005000,0.0000005000,openrouter,chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openrouter/google/gemini-pro-vision,45875,,,0.0000001250,0.0000003750,openrouter,chat,True,,True,,,,,,,,,,,,,0.0025000000,,,,,,,,,,,,,,,,,,,,
openrouter/fireworks/firellava-13b,4096,,,0.0000002000,0.0000002000,openrouter,chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openrouter/meta-llama/llama-3-8b-instruct:free,8192,,,0.0000000000,0.0000000000,openrouter,chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
