"accept_language","http_user_agent","http_method",status,"_tc","len_al","len_ua"
"---","Mozilla/5.0 (Linux; Android 4.0.0;) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/30.0.0.0 Mobile Safari/537.36 [FB_IAB/FB4A;]",GET,200,590479,3,138
"---","Mozilla/5.0 ((Windows; U; Windows NT 6.1; fr; rv:1.9.2) Gecko/20100115 Firefox/3.6)",GET,404,590479,3,83
"---","Mozilla/5.0",HEAD,200,590479,3,11
"---","Mozilla/4.76 [en] (X11; U; HP-UX B.10.20 9000/782)",POST,500,590479,3,50
"---","Mozilla/4.0 (compatible; Netcraft Web Server Survey)",HEAD,302,590479,3,52
"---","Mozilla/4.0 (compatible; Netcraft Web Server Survey)",HEAD,301,590479,3,52
"---","Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E; InfoPath.3)",GET,404,590479,3,169
"---","Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E; InfoPath.3)",GET,301,590479,3,169
"---","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; BIDUBrowser 2.x)",GET,200,590479,3,185
"---","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1)",GET,301,590479,3,50
"---","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1)",GET,200,590479,3,50
"---","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2; Win64; x64; Trident/4.0; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729",GET,301,590479,3,138
"---","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; TencentTraveler 4.0; .NET CLR 2.0.50727)",GET,301,590479,3,104
"---","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; TencentTraveler 4.0; .NET CLR 2.0.50727)",GET,200,590479,3,104
"---","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.2; SV1; .NET CLR 1.1.4322; .NET CLR 2.0.50727)",GET,200,590479,3,94
"---","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; ru)",GET,200,590479,3,54
"---","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; .NET CLR 1.1.4322; FDM)",GET,200,590479,3,74
"---","Mozilla/4.0 (compatible; MSIE 5.0; Windows 3.1)",GET,301,590479,3,47
"---","Mozilla/4.0 (compatible; MSIE 5.01; Windows NT 5.0; fr_crawler)",GET,301,590479,3,63
"---","Mozilla/4.0 (compatible; MSIE 5.01; Windows NT 5.0; fr_crawler)",GET,200,590479,3,63
"---","Googlebot-Image/1.0",GET,404,590479,3,19
"---","Google-HTTP-Java-Client/1.17.0-rc (gzip)",HEAD,200,590479,3,40
"---","DomainCrawler/3.0 (info@domaincrawler.com; http://www.domaincrawler.com/miniwebmaster.com)",GET,301,590479,3,90
"---","Digg Deeper/v1 (http://digg.com/about)",GET,200,590479,3,38
"---",BigDataCloud,GET,302,590479,3,12
"---","Apache-HttpClient/4.3.1_iris (java 1.5)",GET,200,590479,3,39
"---","<a href=""http://forum.windowsfaq.ru/"">Forum.WindowsFAQ.ru</a>",GET,302,590479,3,61
"*","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 1.0.3705; .NET CLR 2.0.50727; .NET CLR 3.0.04506.648; .NET CLR 3.5.21022; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)",GET,200,590479,1,209
"zh-CN,zh;q=0.8","Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1",GET,200,590479,14,133
"zh-CN,zh;q=0.8","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.22 Safari/537.36 SE 2.X MetaSr 1.0",GET,200,590479,14,126
"zh-CN,zh;q=0.8","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36",GET,200,590479,14,102
"pt-br","Mozilla/5.0 (X11; U; Linux i686; pt-BR; rv:1.9.0.15) Gecko/2009102815 Ubuntu/9.04 (jaunty) Firefox/3.0.15",POST,301,590479,5,105
"pt-br","Mozilla/5.0 (X11; U; Linux i686; pt-BR; rv:1.9.0.15) Gecko/2009102815 Ubuntu/9.04 (jaunty) Firefox/3.0.15",POST,200,590479,5,105
"pl-PL,pl;q=0.8,en-US;q=0.6,en;q=0.4","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",GET,200,590479,35,113
"ko-KR,ko;q=0.8,en-US;q=0.6,en;q=0.4","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",GET,200,590479,35,108
"ko-KR","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/6.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; InfoPath.2; .NET4.0E; KCHK/1.0; MARKANYEPS#25108; MARKANYWEBDRM#25114; NP02)",GET,200,590479,5,245
"ja-jp","Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) GSA/22.0.141836113 Mobile/13F69 Safari/600.1.4",GET,200,590479,5,142
"ja-jp","Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) GSA/21.4.141508723 Mobile/13C75 Safari/600.1.4",GET,200,590479,5,140
"ja-jp","Mozilla/5.0 (iPad; CPU OS 9_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) GSA/21.4.141508723 Mobile/13C75 Safari/600.1.4",GET,200,590479,5,131
"ja-jp","Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12F69",GET,200,590479,5,97
"ja-JP,ja;q=0.8,en-US;q=0.6,en;q=0.4","Mozilla/5.0 (Linux; Android 6.0; SO-03H Build/32.1.F.0.43) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",GET,200,590479,35,138
"ja-JP,ja;q=0.8,en-US;q=0.6,en;q=0.4","Mozilla/5.0 (Linux; Android 6.0.1; SOV33 Build/35.0.D.2.25) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",GET,200,590479,35,139
"ja-JP,ja;q=0.8,en-US;q=0.6,en;q=0.4","Mozilla/5.0 (Linux; Android 6.0.1; ASUS_Z00ED Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",GET,200,590479,35,139
"ja-JP,ja;q=0.8,en-US;q=0.6,en;q=0.4","Mozilla/5.0 (Linux; Android 5.1.1; SOV32 Build/32.0.D.0.328) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",GET,200,590479,35,140
"ja-JP,en-US;q=0.8","Mozilla/5.0 (Linux; Android 6.0; SO-01H Build/32.1.F.1.75; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/55.0.2883.91 Mobile Safari/537.36 YJApp-ANDROID jp.co.yahoo.android.yjtop/3.2.18",GET,200,590479,17,201
"ja-JP,en-US;q=0.8","Mozilla/5.0 (Linux; Android 5.1; FTJ152C Build/LMY47D; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/55.0.2883.91 Mobile Safari/537.36 YJApp-ANDROID jp.co.yahoo.android.yjtop/3.2.18",GET,200,590479,17,197
"ja-JP, en-US;q=0.8","Mozilla/5.0 (Linux; U; Android 4.4.2; ja-jp; SonySO-02E Build/10.5.1.B.0.155) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30",GET,200,590479,18,149
"ja-JP","Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)",GET,200,590479,5,70
"it-IT,en,*","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36",GET,200,590479,10,109
"fi-FI,en,*","Mozilla/5.0 (Unknown; Linux x86_64) AppleWebKit/538.1 (KHTML, like Gecko) PhantomJS/2.1.1 Safari/538.1",GET,301,590479,10,102
"fi-FI,en,*","Mozilla/5.0 (Unknown; Linux x86_64) AppleWebKit/538.1 (KHTML, like Gecko) PhantomJS/2.1.1 Safari/538.1",GET,200,590479,10,102
"es-ES,es;q=0.8,en;q=0.6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",GET,200,590479,23,114
"en-us,en;q=0.5","Mozilla/5.0 (Windows NT 6.1; rv:19.0) Gecko/20100101 Firefox/19.0",GET,206,590479,14,65
"en-us,en;q=0.5","Mozilla/5.0 (Windows NT 6.1; rv:19.0) Gecko/20100101 Firefox/19.0",GET,200,590479,14,65
"en-us","Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) GSA/20.3.136880903 Mobile/14C92 Safari/600.1.4",GET,200,590479,5,141
"en-us","Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) GSA/21.4.141508723 Mobile/14B100 Safari/600.1.4",GET,200,590479,5,144
"en-us","Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) GSA/22.0.141836113 Mobile/14A403 Safari/600.1.4",GET,200,590479,5,144
"en-us","Mozilla/5.0 (iPad; CPU OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1",GET,200,590479,5,123
"en-us","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.7.8 (KHTML, like Gecko) Version/9.1.3 Safari/537.86.7",GET,301,590479,5,116
"en-us","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.7.7 (KHTML, like Gecko) Version/9.1.2 Safari/537.86.7",POST,302,590479,5,116
"en-us","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.7.7 (KHTML, like Gecko) Version/9.1.2 Safari/537.86.7",GET,301,590479,5,116
"en-us","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.3 (KHTML, like Gecko)",GET,200,590479,5,87
"en-gb","Mozilla/5.0 (iPad; CPU OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1",GET,200,590479,5,128
"en-US,ru;q=0.7,en;q=0.3","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:51.0) Gecko/20100101 Firefox/51.0",GET,200,590479,23,73
"en-US,en;q=0.8,pt-BR;q=0.6,pt;q=0.4,nl;q=0.2,fr;q=0.2","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",GET,200,590479,53,109
"en-US,en;q=0.8,fa;q=0.6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",GET,200,590479,23,114
"en-US,en;q=0.8,es;q=0.6","Mozilla/5.0 (Linux; Android 5.1.1; E6782 Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.98 Mobile Safari/537.36",GET,200,590479,23,134
"en-US,en;q=0.8,en-CA;q=0.6,fr-CA;q=0.4,fr;q=0.2","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",GET,200,590479,47,108
"en-US,en;q=0.8","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36 OPR/42.0.2393.94",GET,500,590479,14,125
"en-US,en;q=0.8","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.63 Safari/537.36",GET,200,590479,14,120
"en-US,en;q=0.8","Mozilla/5.0 (Linux; Android 6.0.1; SM-G920I Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",GET,200,590479,14,137
"en-US,en;q=0.8","Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG-SM-N910A Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/4.0 Chrome/44.0.2403.133 Mobile Safari/537.36",GET,200,590479,14,165
"en-US,en;q=0.8","Mozilla/5.0 (Linux; Android 6.0.1; Nexus 6 Build/MOB31K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",GET,200,590479,14,136
"en-US,en;q=0.8","Mozilla/5.0 (Linux; Android 5.1; CP8676_I02 Build/LMY47D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.93 Mobile Safari/537.36",GET,200,590479,14,137
"en-US,en;q=0.8","Mozilla/5.0 (Linux; Android 5.1.1; LGLS675 Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.85 Mobile Safari/537.36",GET,200,590479,14,136
"en-US,en;q=0.8","Mozilla/5.0 (Linux; Android 4.4.2; SPH-L600 Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",GET,200,590479,14,137
"en-US,en;q=0.8","Mozilla/5.0 (Linux; Android 4.4.2; 7040N Build/KVT49L) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.81 Mobile Safari/537.36",GET,200,590479,14,134
"en-US,en;q=0.5","W3CLineMode/5.4.0 libwww/5.x.x",GET,200,590479,14,30
"en-US,en;q=0.5","PHP/5.2.90",POST,404,590479,14,10
"en-US,en;q=0.5","PHP/5.2.90",GET,200,590479,14,10
"en-US,en;q=0.5","Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:34.0) Gecko/20100101 Firefox/34.0",GET,404,590479,14,74
"en-US,en;q=0.5","Mozilla/5.0 (X11; Linux i686; rv:45.0) Gecko/20100101 Firefox/45.0",GET,404,590479,14,66
"en-US,en;q=0.5","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0",GET,200,590479,14,72
"en-US,en;q=0.5","Mozilla/5.0 (Windows NT 5.1; rv:35.0) Gecko/20100101 Firefox/35.0",GET,301,590479,14,65
"en-US,en;q=0.5","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",GET,404,590479,14,119
"en-US,en;q=0.5","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SIMBAR Enabled; InfoPath.1)",GET,200,590479,14,78
"en-US,en","Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG-SM-G935A Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/5.0 Chrome/51.0.2704.106 Mobile Safari/537.36",GET,200,590479,8,165
"en-US,*","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",GET,301,590479,7,120
"en-US,*","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",GET,200,590479,7,120
"en-US","Mozilla/5.0 (Linux; Android 6.0.1; SM-G930T Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/55.0.2883.91 Mobile Safari/537.36 BingWeb/6.2.25182332",GET,200,590479,5,174
"en-GB,en;q=0.8,en-US;q=0.6,en;q=0.4","Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG SM-G930F Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/4.0 Chrome/44.0.2403.133 Mobile Safari/537.36",GET,200,590479,35,165
"en-GB,en;q=0.8,en-US;q=0.6,en;q=0.4","Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG SM-G900F Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/4.0 Chrome/44.0.2403.133 Mobile Safari/537.36",GET,200,590479,35,165
"en-GB,en;q=0.8,en-US;q=0.6,en;q=0.4","Mozilla/5.0 (Linux; Android 5.1.1; SAMSUNG SM-J500FN Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/3.3 Chrome/38.0.2125.102 Mobile Safari/537.36",GET,200,590479,35,166
"en-GB,en-US;q=0.8,en;q=0.6","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/53.0.2785.143 Chrome/53.0.2785.143 Safari/537.36",GET,301,590479,26,135
"en-GB, en-US","Mozilla/5.0 (Linux; U; Android 4.2.2; en-gb; Lenovo A3500-HV Build/JDQ39) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30",GET,200,590479,12,145
"en-CA,en;q=0.8,en-US;q=0.6,en;q=0.4","Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG SM-G930W8 Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/4.0 Chrome/44.0.2403.133 Mobile Safari/537.36",GET,301,590479,35,166
"en,en-US;q=0.8","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36",GET,500,590479,14,109
en,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",GET,200,590479,2,108
"de-DE,de;q=0.8,en-US;q=0.6,en;q=0.4","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36 OPR/40.0.2308.90",GET,200,590479,35,126
"---","WordPress/4.6.1; http://pheromonestoattractwomenforsex.attract-beauty.com",HEAD,200,590479,3,73
"---","PHP/5.4.45",GET,200,590479,3,10
"---","PHP/5.3.29",GET,200,590479,3,10
"---","Mozilla/5.0 (compatible; linkdexbot/2.2; +http://www.linkdex.com/bots/)",GET,404,590479,3,71
"---","Mozilla/5.0 (compatible; inoreader.com-like FeedFetcher-Google)",GET,500,590479,3,63
"---","Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)",GET,404,590479,3,79
"---","Mozilla/5.0 (X11; U; Linux x86_64; en-US; rv:1.9.2.4) Gecko/20100614 Ubuntu/10.04 (lucid) Firefox/3.6.4",GET,301,590479,3,103
"---","Mozilla/5.0 (X11; U; Linux x86_64; en-US; rv:1.9.2.4) Gecko/20100614 Ubuntu/10.04 (lucid) Firefox/3.6.4",GET,206,590479,3,103
"---","Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:2.0b8pre) Gecko/20101114 Firefox/4.0b8pre",GET,200,590479,3,85
"---","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",GET,404,590479,3,109
"---","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.802.30 Safari/535.1 SE 2.X MetaSr 1.0",POST,500,590479,3,116
"---","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.802.30 Safari/535.1 SE 2.X MetaSr 1.0",GET,200,590479,3,116
"---","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.75 Safari/537.36 OPR/36.0.2130.32",POST,302,590479,3,126
"---","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.97 Safari/537.36",GET,404,590479,3,109
"---","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.80 Safari/537.36",POST,200,590479,3,109
"---","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_7) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.68 Safari/534.24",GET,200,590479,3,118
"---","Mozilla/5.0 (Linux; U; Android-4.0.3; en-us; Xoom Build/IML77) AppleWebKit/535.7 (KHTML, like Gecko) CrMo/16.0.912.75 Safari/535.7",GET,301,590479,3,130
"---","Mozilla/5.0 (Linux; U; Android-4.0.3; en-us; Xoom Build/IML77) AppleWebKit/535.7 (KHTML, like Gecko) CrMo/16.0.912.75 Safari/535.7",GET,200,590479,3,130
"---","Mozilla/5.0 (Linux; U; Android-4.0.3; en-us; Galaxy Nexus Build/IML74K) AppleWebKit/535.7 (KHTML, like Gecko) CrMo/16.0.912.75 Mobile Safari/535.7",GET,301,590479,3,146
"---","Mozilla/5.0 (Linux; Android 6.0.1; SM-N920T Build/MMB29K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/55.0.2883.91 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/106.0.0.26.68;]",GET,200,590479,3,187
"---","Mozilla/5.0 (Linux; Android 5.1.1; SAMSUNG-SM-G530A Build/LMY48B; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/55.0.2883.91 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/106.0.0.26.68;]",GET,200,590479,3,195
"---","Mozilla/4.0 (compatible; Win32; WinHttp.WinHttpRequest.5)",PUT,404,590479,3,57
"---","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) )",GET,200,590479,3,113
"---","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)",HEAD,301,590479,3,50
"---","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)",HEAD,200,590479,3,50
"zh-cn","Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)",GET,200,590479,5,70
"zh-cn","Mozilla/4.0 (compatible; Win32; WinHttp.WinHttpRequest.5)",GET,404,590479,5,57
"zh-TW,zh;q=0.8,en-US;q=0.6,en;q=0.4","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",GET,301,590479,35,108
"zh-TW,zh;q=0.8,en-US;q=0.6,en;q=0.4","Mozilla/5.0 (Linux; Android 5.0.2; ASUS_Z00LD Build/LRX22G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.93 Mobile Safari/537.36",GET,200,590479,35,139
"zh-CN,zh;q=0.8,en;q=0.6","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",GET,200,590479,23,108
"zh-CN,zh;q=0.8,en-US;q=0.6,en;q=0.4","Mozilla/5.0 (iPhone; CPU iPhone OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H143 Safari/600.1.4",GET,301,590479,35,134
"zh-CN,zh;q=0.8,en-US;q=0.6,en;q=0.4","Mozilla/5.0 (iPhone; CPU iPhone OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H143 Safari/600.1.4",GET,200,590479,35,134
"zh-CN,zh;q=0.8","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.73 Safari/537.36",GET,301,590479,14,109
"vi-VN,vi,fr-FR,fr,en-US,en","Mozilla/5.0 (iPhone; CPU iPhone OS 8_4_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) GSA/11.1.66360 Mobile/12H321 Safari/600.1.4",GET,200,590479,26,139
"tr-TR,tr;q=0.8,en-US;q=0.6,en;q=0.4","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",GET,200,590479,35,108
"tr-TR,tr;q=0.8,en-US;q=0.6,en;q=0.4","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.82 Safari/537.36 OPR/39.0.2256.48",GET,200,590479,35,126
"th-TH,th;q=0.8","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",GET,200,590479,14,101
"sv-se","Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13F69 Safari/601.1",GET,200,590479,5,134
"sv-se","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Safari/602.1.50",GET,200,590479,5,115
"sv-SE,sv;q=0.8,en-US;q=0.6,en;q=0.4","Mozilla/5.0 (Linux; Android 6.0; E5603 Build/30.2.A.0.100) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",GET,200,590479,35,138
"sr-RS,sr;q=0.8,en-US;q=0.6,en;q=0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",GET,200,590479,35,114
"sr-RS","Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",GET,301,590479,5,102
"sr-RS","Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",GET,200,590479,5,102
"ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4,de;q=0.2,pl;q=0.2","Mozilla/5.0 (Linux; Android 5.0.1; YOGA Tablet 2-1050F Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Safari/537.36",GET,200,590479,53,141
"ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",GET,301,590479,35,108
