Dec  2 12:37:40 ip-172-31-27-153 sshd[4330]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:37:40 ip-172-31-27-153 sshd[4338]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:37:43 ip-172-31-27-153 sshd[4342]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:37:46 ip-172-31-27-153 sshd[4344]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:37:47 ip-172-31-27-153 sshd[4340]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:37:48 ip-172-31-27-153 sshd[4346]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:37:51 ip-172-31-27-153 sshd[4350]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:37:53 ip-172-31-27-153 sshd[4352]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:37:56 ip-172-31-27-153 sshd[4354]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:37:58 ip-172-31-27-153 sshd[4348]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:37:59 ip-172-31-27-153 sshd[4356]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:38:01 ip-172-31-27-153 sshd[4363]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:38:04 ip-172-31-27-153 sshd[4365]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:38:06 ip-172-31-27-153 sshd[4367]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:38:08 ip-172-31-27-153 sshd[4361]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:38:09 ip-172-31-27-153 sshd[4369]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:38:12 ip-172-31-27-153 sshd[4373]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:38:14 ip-172-31-27-153 sshd[4375]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:38:17 ip-172-31-27-153 sshd[4377]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:38:19 ip-172-31-27-153 sshd[4371]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:38:19 ip-172-31-27-153 sshd[4379]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:38:22 ip-172-31-27-153 sshd[4383]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:38:24 ip-172-31-27-153 sshd[4385]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:38:27 ip-172-31-27-153 sshd[4387]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:38:27 ip-172-31-27-153 sshd[4381]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:38:29 ip-172-31-27-153 sshd[4390]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:38:32 ip-172-31-27-153 sshd[4393]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:38:35 ip-172-31-27-153 sshd[4395]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:38:37 ip-172-31-27-153 sshd[4397]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:38:38 ip-172-31-27-153 sshd[4389]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:38:40 ip-172-31-27-153 sshd[4399]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:38:42 ip-172-31-27-153 sshd[4403]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:38:45 ip-172-31-27-153 sshd[4405]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:38:45 ip-172-31-27-153 sshd[4401]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:38:47 ip-172-31-27-153 sshd[4407]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:38:50 ip-172-31-27-153 sshd[4411]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:38:52 ip-172-31-27-153 sshd[4413]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:38:55 ip-172-31-27-153 sshd[4415]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:38:56 ip-172-31-27-153 sshd[4409]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:38:57 ip-172-31-27-153 sshd[4417]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:39:00 ip-172-31-27-153 sshd[4421]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:39:03 ip-172-31-27-153 sshd[4423]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:39:03 ip-172-31-27-153 sshd[4419]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:39:05 ip-172-31-27-153 sshd[4425]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:39:08 ip-172-31-27-153 sshd[4429]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:39:10 ip-172-31-27-153 sshd[4431]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:39:12 ip-172-31-27-153 sshd[4426]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:39:13 ip-172-31-27-153 sshd[4433]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:39:16 ip-172-31-27-153 sshd[4437]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:39:18 ip-172-31-27-153 sshd[4439]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:39:21 ip-172-31-27-153 sshd[4441]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:39:23 ip-172-31-27-153 sshd[4443]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:39:24 ip-172-31-27-153 sshd[4435]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:39:26 ip-172-31-27-153 sshd[4445]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:39:28 ip-172-31-27-153 sshd[4449]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:39:31 ip-172-31-27-153 sshd[4451]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:39:34 ip-172-31-27-153 sshd[4453]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:39:35 ip-172-31-27-153 sshd[4447]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:39:37 ip-172-31-27-153 sshd[4455]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:39:39 ip-172-31-27-153 sshd[4459]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:39:42 ip-172-31-27-153 sshd[4461]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:39:44 ip-172-31-27-153 sshd[4457]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:39:44 ip-172-31-27-153 sshd[4463]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:39:47 ip-172-31-27-153 sshd[4467]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:39:49 ip-172-31-27-153 sshd[4469]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:39:51 ip-172-31-27-153 sshd[4465]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:39:52 ip-172-31-27-153 sshd[4471]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:39:54 ip-172-31-27-153 sshd[4475]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:39:57 ip-172-31-27-153 sshd[4477]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:40:00 ip-172-31-27-153 sshd[4473]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:40:00 ip-172-31-27-153 sshd[4479]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:40:03 ip-172-31-27-153 sshd[4481]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:40:07 ip-172-31-27-153 sshd[4485]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:40:09 ip-172-31-27-153 sshd[4487]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:40:11 ip-172-31-27-153 sshd[4482]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:40:11 ip-172-31-27-153 sshd[4489]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:40:14 ip-172-31-27-153 sshd[4493]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:40:16 ip-172-31-27-153 sshd[4495]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:40:18 ip-172-31-27-153 sshd[4491]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:40:19 ip-172-31-27-153 sshd[4497]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:40:21 ip-172-31-27-153 sshd[4501]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:40:24 ip-172-31-27-153 sshd[4503]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:40:26 ip-172-31-27-153 sshd[4505]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:40:26 ip-172-31-27-153 sshd[4499]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:40:29 ip-172-31-27-153 sshd[4508]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:40:31 ip-172-31-27-153 sshd[4511]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:40:34 ip-172-31-27-153 sshd[4513]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:40:36 ip-172-31-27-153 sshd[4515]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:40:38 ip-172-31-27-153 sshd[4507]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:40:39 ip-172-31-27-153 sshd[4517]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:40:41 ip-172-31-27-153 sshd[4521]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:40:44 ip-172-31-27-153 sshd[4523]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:40:46 ip-172-31-27-153 sshd[4525]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:40:48 ip-172-31-27-153 sshd[4519]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:40:48 ip-172-31-27-153 sshd[4527]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:40:51 ip-172-31-27-153 sshd[4530]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:40:53 ip-172-31-27-153 sshd[4533]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:40:56 ip-172-31-27-153 sshd[4535]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:40:58 ip-172-31-27-153 sshd[4537]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:41:00 ip-172-31-27-153 sshd[4529]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:41:01 ip-172-31-27-153 sshd[4539]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:41:04 ip-172-31-27-153 sshd[4543]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:41:06 ip-172-31-27-153 sshd[4545]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:41:08 ip-172-31-27-153 sshd[4541]: fatal: Read from socket failed: Connection reset by peer [preauth]
Dec  2 12:41:09 ip-172-31-27-153 sshd[4547]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:41:11 ip-172-31-27-153 sshd[4551]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:41:15 ip-172-31-27-153 sshd[4553]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:41:17 ip-172-31-27-153 sshd[4555]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:41:20 ip-172-31-27-153 sshd[4557]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:41:20 ip-172-31-27-153 sshd[4549]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:41:22 ip-172-31-27-153 sshd[4560]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:41:25 ip-172-31-27-153 sshd[4563]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:41:28 ip-172-31-27-153 sshd[4565]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:41:28 ip-172-31-27-153 sshd[4559]: fatal: Read from socket failed: Connection reset by peer [preauth]
Dec  2 12:41:30 ip-172-31-27-153 sshd[4567]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:41:32 ip-172-31-27-153 sshd[4571]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:41:35 ip-172-31-27-153 sshd[4573]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:41:36 ip-172-31-27-153 sshd[4569]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:41:38 ip-172-31-27-153 sshd[4575]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:41:41 ip-172-31-27-153 sshd[4579]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:41:43 ip-172-31-27-153 sshd[4577]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:41:43 ip-172-31-27-153 sshd[4582]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:41:47 ip-172-31-27-153 sshd[4586]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:41:49 ip-172-31-27-153 sshd[4588]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:41:52 ip-172-31-27-153 sshd[4590]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:41:52 ip-172-31-27-153 sshd[4584]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:41:54 ip-172-31-27-153 sshd[4592]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:41:57 ip-172-31-27-153 sshd[4596]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:41:59 ip-172-31-27-153 sshd[4598]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:42:02 ip-172-31-27-153 sshd[4600]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:42:04 ip-172-31-27-153 sshd[4594]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:42:04 ip-172-31-27-153 sshd[4602]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:42:06 ip-172-31-27-153 sshd[4606]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:42:09 ip-172-31-27-153 sshd[4608]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:42:12 ip-172-31-27-153 sshd[4610]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:42:12 ip-172-31-27-153 sshd[4604]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:42:14 ip-172-31-27-153 sshd[4612]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:42:16 ip-172-31-27-153 sshd[4616]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:42:20 ip-172-31-27-153 sshd[4618]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:42:22 ip-172-31-27-153 sshd[4614]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:42:22 ip-172-31-27-153 sshd[4620]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:42:25 ip-172-31-27-153 sshd[4624]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:42:27 ip-172-31-27-153 sshd[4626]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:42:29 ip-172-31-27-153 sshd[4622]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:42:30 ip-172-31-27-153 sshd[4628]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:42:32 ip-172-31-27-153 sshd[4632]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:42:35 ip-172-31-27-153 sshd[4634]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:42:38 ip-172-31-27-153 sshd[4636]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:42:40 ip-172-31-27-153 sshd[4638]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:42:40 ip-172-31-27-153 sshd[4630]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:42:42 ip-172-31-27-153 sshd[4640]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:42:45 ip-172-31-27-153 sshd[4644]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:42:48 ip-172-31-27-153 sshd[4646]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:42:49 ip-172-31-27-153 sshd[4641]: fatal: Read from socket failed: Connection reset by peer [preauth]
Dec  2 12:42:50 ip-172-31-27-153 sshd[4648]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:42:52 ip-172-31-27-153 sshd[4652]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:42:56 ip-172-31-27-153 sshd[4654]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:42:58 ip-172-31-27-153 sshd[4656]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:43:00 ip-172-31-27-153 sshd[4650]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:43:01 ip-172-31-27-153 sshd[4658]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:43:03 ip-172-31-27-153 sshd[4662]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:43:06 ip-172-31-27-153 sshd[4664]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:43:06 ip-172-31-27-153 sshd[4660]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:43:08 ip-172-31-27-153 sshd[4666]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:43:10 ip-172-31-27-153 sshd[4670]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:43:13 ip-172-31-27-153 sshd[4672]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:43:15 ip-172-31-27-153 sshd[4668]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:43:16 ip-172-31-27-153 sshd[4674]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:43:19 ip-172-31-27-153 sshd[4678]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:43:21 ip-172-31-27-153 sshd[4680]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:43:24 ip-172-31-27-153 sshd[4682]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:43:26 ip-172-31-27-153 sshd[4684]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:43:27 ip-172-31-27-153 sshd[4676]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:43:30 ip-172-31-27-153 sshd[4686]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:43:32 ip-172-31-27-153 sshd[4690]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:43:35 ip-172-31-27-153 sshd[4692]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:43:36 ip-172-31-27-153 sshd[4688]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:43:37 ip-172-31-27-153 sshd[4694]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:43:40 ip-172-31-27-153 sshd[4698]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:43:42 ip-172-31-27-153 sshd[4700]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:43:44 ip-172-31-27-153 sshd[4702]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:43:45 ip-172-31-27-153 sshd[4696]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:43:47 ip-172-31-27-153 sshd[4704]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:43:49 ip-172-31-27-153 sshd[4708]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:43:52 ip-172-31-27-153 sshd[4710]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:43:54 ip-172-31-27-153 sshd[4712]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:43:56 ip-172-31-27-153 sshd[4706]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:43:56 ip-172-31-27-153 sshd[4714]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:43:59 ip-172-31-27-153 sshd[4718]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:44:01 ip-172-31-27-153 sshd[4720]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:44:04 ip-172-31-27-153 sshd[4722]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:44:04 ip-172-31-27-153 sshd[4716]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:44:06 ip-172-31-27-153 sshd[4724]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:44:09 ip-172-31-27-153 sshd[4728]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:44:11 ip-172-31-27-153 sshd[4730]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:44:14 ip-172-31-27-153 sshd[4732]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:44:15 ip-172-31-27-153 sshd[4725]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:44:16 ip-172-31-27-153 sshd[4734]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:44:19 ip-172-31-27-153 sshd[4738]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:44:22 ip-172-31-27-153 sshd[4740]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:44:24 ip-172-31-27-153 sshd[4742]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:44:26 ip-172-31-27-153 sshd[4736]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:44:27 ip-172-31-27-153 sshd[4744]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:44:29 ip-172-31-27-153 sshd[4748]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:44:32 ip-172-31-27-153 sshd[4750]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:44:34 ip-172-31-27-153 sshd[4746]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:44:34 ip-172-31-27-153 sshd[4752]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:44:37 ip-172-31-27-153 sshd[4756]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:44:39 ip-172-31-27-153 sshd[4758]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:44:42 ip-172-31-27-153 sshd[4760]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:44:43 ip-172-31-27-153 sshd[4754]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:44:44 ip-172-31-27-153 sshd[4762]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:44:47 ip-172-31-27-153 sshd[4766]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:44:49 ip-172-31-27-153 sshd[4768]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:44:52 ip-172-31-27-153 sshd[4770]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:44:53 ip-172-31-27-153 sshd[4764]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:44:54 ip-172-31-27-153 sshd[4772]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:44:57 ip-172-31-27-153 sshd[4776]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:44:59 ip-172-31-27-153 sshd[4778]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:45:02 ip-172-31-27-153 sshd[4780]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:45:04 ip-172-31-27-153 sshd[4774]: Received disconnect from 220.99.93.50: 11: Bye Bye [preauth]
Dec  2 12:45:04 ip-172-31-27-153 sshd[4782]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:45:07 ip-172-31-27-153 sshd[4786]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:45:09 ip-172-31-27-153 sshd[4788]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:45:12 ip-172-31-27-153 sshd[4790]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
Dec  2 12:45:14 ip-172-31-27-153 sshd[4792]: Received disconnect from 218.25.17.234: 11: Bye Bye [preauth]
